uid,sex,birth_year,membership_level,reg_date,is_88vip,family_account,bindkeep_phone,bindkeep_alipay,bindkeep_bank,default_payment,lifetime_order_count,lifetime_order_amount,avg_monthly_spend_6m,last_618_order_amount,last_double11_order_amount,coupon_used_count_90d,coupon_total_count_90d,category_preference_1,category_preference_2,city_tier,province
sim_u_00000055,M,1981,L3,2020-03-31,0,0,1,1,1,alipay_balance,25,1770.93,295.16,434.4,393.21,1,2,图书,食品,3,北京
sim_u_00000056,F,1998,L1,2024-04-11,0,0,1,1,1,alipay_balance,0,0.0,0.0,240.78,426.83,1,7,服饰,食品,3,广东
sim_u_00000057,F,1995,L3,2018-01-20,0,1,1,1,0,alipay_balance,30,2259.62,376.6,380.64,149.07,0,4,图书,服饰,2,其他
sim_u_00000058,Unknown,1991,L4,2021-09-20,0,0,1,1,1,debit_card,65,5431.02,905.17,156.61,310.29,0,5,家居,母婴,2,浙江
sim_u_00000059,M,1986,L1,2024-07-06,0,0,1,1,1,credit_card,15,912.17,152.03,49.58,725.07,4,7,图书,运动,4,浙江
sim_u_00000060,M,1996,L2,2015-01-14,0,0,1,1,1,debit_card,5,503.87,83.98,397.97,731.54,2,5,美妆,运动,4,广东
sim_u_00000061,F,1985,L2,2021-02-16,0,0,1,1,1,credit_card,28,1852.67,308.78,306.25,573.95,2,11,数码,食品,1,北京
sim_u_00000062,M,1972,L4,2015-08-20,0,1,1,1,1,credit_card,57,3569.45,594.91,472.0,424.61,1,9,家居,服饰,1,其他
sim_u_00000063,Unknown,1992,L1,2015-10-26,0,0,1,1,1,alipay_balance,0,0.0,0.0,90.03,441.37,4,8,美妆,服饰,2,上海
sim_u_00000064,M,1988,L1,2015-07-19,0,0,1,1,1,alipay_balance,1,64.92,10.82,351.78,329.12,5,12,美妆,母婴,3,江苏
sim_u_00000065,M,1981,L3,2024-02-15,0,0,1,1,1,alipay_balance,25,2375.0,395.83,339.5,21.26,0,4,数码,服饰,2,其他
sim_u_00000066,F,1992,L4,2019-03-22,1,0,1,1,1,debit_card,70,6451.32,1075.22,51.28,492.33,2,4,家居,运动,5,北京
sim_u_00000067,M,1994,L2,2020-06-06,0,0,1,1,0,debit_card,27,1608.99,268.17,496.32,34.39,3,1,美妆,服饰,3,广东
sim_u_00000068,Unknown,1973,L4,2016-10-15,0,1,1,1,1,debit_card,54,5140.51,856.75,217.68,50.01,3,10,美妆,服饰,4,上海
sim_u_00000069,M,1999,L2,2021-12-25,0,0,1,1,1,debit_card,24,1241.03,206.84,169.41,281.08,5,2,家居,服饰,1,上海
sim_u_00000070,Unknown,1990,L2,2019-11-28,0,0,1,1,1,alipay_balance,7,401.97,67.0,346.34,165.52,3,10,美妆,食品,5,广东
sim_u_00000071,Unknown,2002,L3,2018-08-29,0,0,1,1,0,alipay_balance,22,2124.79,354.13,89.69,732.6,4,3,家居,家电,1,江苏
sim_u_00000072,F,1992,L2,2022-12-21,0,1,1,1,1,debit_card,12,926.3,154.38,138.8,252.29,0,4,图书,母婴,2,广东
sim_u_00000073,Unknown,1983,L2,2016-06-03,0,0,1,1,1,alipay_balance,0,0.0,0.0,311.42,361.52,6,11,图书,家电,4,浙江
sim_u_00000074,F,1983,L4,2018-12-12,1,1,1,1,1,credit_card,56,4051.39,675.23,395.64,118.63,6,12,图书,服饰,2,其他
sim_u_00000075,Unknown,1996,L1,2015-02-15,0,0,1,1,1,debit_card,0,0.0,0.0,243.9,343.07,0,12,数码,食品,3,其他
sim_u_00000076,Unknown,1998,L4,2021-02-20,1,0,1,1,1,debit_card,53,4441.28,740.21,52.42,129.99,6,4,图书,运动,3,北京
sim_u_00000077,Unknown,2003,L3,2024-02-20,0,1,1,1,1,alipay_balance,33,1827.58,304.6,350.25,162.3,4,2,服饰,服饰,1,其他
sim_u_00000078,F,1973,L4,2016-08-31,0,0,1,1,1,credit_card,59,4221.39,703.57,397.67,569.48,3,12,美妆,家电,5,江苏
sim_u_00000079,M,1981,L3,2022-11-14,0,0,1,1,1,alipay_balance,39,2847.15,474.53,451.47,558.02,0,8,服饰,母婴,1,浙江
sim_u_00000080,F,1995,L1,2019-02-25,0,0,1,1,1,credit_card,3,159.51,26.58,41.24,792.27,0,5,美妆,家电,5,上海
sim_u_00000081,Unknown,1990,L2,2021-09-15,0,0,1,1,1,alipay_balance,24,2811.68,468.61,257.4,248.84,0,5,服饰,运动,1,北京
sim_u_00000082,M,2001,L1,2020-07-13,0,0,1,1,1,credit_card,9,927.25,154.54,238.43,620.32,5,3,服饰,家电,2,浙江
sim_u_00000083,F,2005,L2,2015-09-12,0,0,1,1,1,credit_card,13,1404.49,234.08,345.52,173.14,4,9,家居,服饰,2,江苏
sim_u_00000084,Unknown,1984,L4,2019-03-12,0,0,1,1,0,alipay_balance,59,4898.26,816.38,418.54,364.0,1,8,图书,家电,3,上海
sim_u_00000085,F,1973,L4,2020-07-06,1,0,1,1,1,alipay_balance,47,5435.64,905.94,250.16,147.0,1,3,图书,家电,4,其他
sim_u_00000086,F,1996,L3,2017-06-14,0,0,1,1,1,credit_card,41,2003.94,333.99,233.72,694.69,6,2,数码,母婴,3,广东
sim_u_00000087,F,1975,L2,2022-12-06,0,0,1,1,1,credit_card,13,1503.54,250.59,33.69,344.59,0,12,图书,运动,1,北京
sim_u_00000088,M,1984,L4,2020-01-12,0,0,1,1,1,alipay_balance,43,2494.08,415.68,107.74,41.71,0,9,美妆,家电,5,上海
sim_u_00000089,F,1980,L2,2023-05-05,0,0,1,1,1,debit_card,16,1856.05,309.34,488.75,518.8,4,5,图书,服饰,3,北京
sim_u_00000090,F,1984,L5,2019-09-24,0,0,1,1,1,debit_card,96,7701.4,1283.57,324.28,606.7,4,9,服饰,服饰,5,广东
sim_u_00000091,F,1983,L3,2023-12-01,0,0,1,1,1,debit_card,37,4431.04,738.51,90.72,532.45,3,3,图书,服饰,2,上海
sim_u_00000092,F,1996,L1,2016-10-10,0,0,1,1,1,credit_card,0,0.0,0.0,151.81,196.83,2,5,服饰,食品,4,其他
sim_u_00000093,Unknown,1975,L4,2017-01-16,0,1,1,1,1,alipay_balance,64,4560.7,760.12,211.08,251.43,4,3,服饰,食品,2,广东
sim_u_00000094,Unknown,1997,L3,2019-09-25,0,0,1,1,1,alipay_balance,39,4389.34,731.56,436.0,421.95,4,4,服饰,食品,3,广东
sim_u_00000095,F,2003,L5,2017-08-26,1,0,1,1,1,debit_card,93,6359.29,1059.88,130.97,73.65,3,1,家居,运动,2,上海
sim_u_00000096,F,1974,L4,2017-02-07,0,0,1,1,0,credit_card,66,5933.85,988.98,161.36,27.91,4,10,美妆,运动,2,北京
sim_u_00000097,F,1978,L4,2022-02-13,1,0,1,1,1,credit_card,51,5917.21,986.2,213.75,604.13,1,11,家居,家电,4,其他
sim_u_00000098,M,1992,L3,2021-12-05,0,0,1,1,0,debit_card,18,858.85,143.14,128.25,637.26,3,9,家居,母婴,1,江苏
sim_u_00000099,F,2002,L2,2024-07-13,0,0,1,1,0,debit_card,14,1148.04,191.34,4.78,183.57,3,2,图书,家电,1,江苏
sim_u_00000100,M,1970,L3,2016-06-18,0,0,1,1,1,credit_card,28,1919.73,319.95,486.21,34.82,5,4,美妆,食品,2,广东
sim_u_00000101,M,1989,L3,2016-09-09,0,0,1,1,1,credit_card,28,2204.77,367.46,368.92,393.53,4,9,家居,食品,1,上海
sim_u_00000102,F,1993,L1,2017-10-05,0,0,1,1,1,credit_card,2,143.39,23.9,164.07,494.7,2,6,家居,食品,2,广东
sim_u_00000103,M,1981,L2,2019-10-04,0,0,1,1,1,debit_card,32,1987.25,331.21,86.93,210.19,6,5,服饰,运动,5,浙江
sim_u_00000104,M,1980,L2,2016-04-12,0,0,1,1,1,debit_card,23,2360.52,393.42,105.03,32.45,0,8,家居,家电,1,北京
sim_u_00000105,Unknown,2002,L3,2019-06-11,0,0,1,1,0,debit_card,28,1759.82,293.3,99.57,759.52,6,8,服饰,家电,2,其他
sim_u_00000106,M,1997,L2,2021-08-02,0,0,1,1,1,credit_card,7,466.64,77.77,191.98,190.91,4,8,家居,母婴,1,浙江
sim_u_00000107,Unknown,1979,L3,2016-05-02,0,0,1,1,1,credit_card,46,2450.09,408.35,409.38,85.7,1,12,家居,母婴,5,浙江
sim_u_00000108,M,1972,L2,2022-12-23,0,1,1,1,1,alipay_balance,4,261.3,43.55,150.06,197.65,0,3,服饰,母婴,2,浙江
sim_u_00000109,Unknown,1977,L2,2017-10-11,0,0,1,1,1,debit_card,22,2000.23,333.37,436.38,705.17,0,2,美妆,服饰,5,浙江
sim_u_00000110,F,1985,L3,2020-10-14,0,0,1,1,1,alipay_balance,40,2840.66,473.44,433.3,54.68,3,1,服饰,运动,3,浙江
sim_u_00000111,M,2001,L4,2021-01-11,0,0,1,1,1,alipay_balance,44,3356.39,559.4,246.1,298.49,0,5,家居,服饰,1,上海
sim_u_00000112,Unknown,1976,L5,2021-10-29,0,0,1,1,1,debit_card,96,7885.05,1314.17,396.15,765.88,1,2,家居,母婴,3,其他
sim_u_00000113,M,1990,L1,2020-03-26,0,0,1,1,1,debit_card,0,0.0,0.0,193.94,54.81,4,5,美妆,母婴,3,江苏
sim_u_00000114,Unknown,2002,L3,2019-03-24,0,0,1,1,1,debit_card,21,2044.29,340.71,129.49,119.6,6,7,美妆,家电,2,北京
sim_u_00000115,Unknown,1997,L3,2024-01-28,0,0,1,1,1,debit_card,48,4371.68,728.61,341.03,66.79,0,9,美妆,家电,4,浙江
sim_u_00000116,F,1976,L2,2015-07-06,0,0,1,1,1,alipay_balance,22,1689.81,281.63,243.48,605.64,2,8,美妆,服饰,3,上海
sim_u_00000117,F,1975,L2,2019-10-02,0,0,1,1,1,alipay_balance,14,1102.01,183.67,435.6,126.66,5,12,图书,家电,2,江苏
sim_u_00000118,M,1970,L2,2016-02-11,0,0,1,1,1,credit_card,35,3193.62,532.27,79.8,344.34,0,5,服饰,服饰,3,北京
sim_u_00000119,Unknown,1976,L3,2016-08-03,0,0,1,1,1,debit_card,27,1252.91,208.82,440.49,398.86,6,4,服饰,家电,2,上海
sim_u_00000120,F,2000,L3,2020-01-20,0,0,1,1,1,debit_card,38,4221.42,703.57,235.32,174.47,0,10,图书,家电,5,广东
sim_u_00000121,Unknown,1980,L2,2017-06-12,0,0,1,1,1,alipay_balance,20,1148.18,191.36,358.94,715.55,0,1,美妆,运动,5,北京
sim_u_00000122,M,1978,L3,2018-11-30,0,0,1,1,1,credit_card,25,2460.42,410.07,256.85,623.85,5,1,服饰,家电,4,上海
sim_u_00000123,M,1974,L4,2023-06-20,0,0,1,1,1,debit_card,73,8675.32,1445.89,140.44,589.64,4,3,美妆,家电,2,浙江
sim_u_00000124,F,1996,L1,2023-10-05,0,0,1,1,1,debit_card,2,112.86,18.81,481.21,141.43,3,5,服饰,食品,2,江苏
sim_u_00000125,Unknown,2004,L2,2019-01-09,0,0,1,1,1,credit_card,16,1041.82,173.64,187.99,594.54,0,1,美妆,食品,4,其他
sim_u_00000126,Unknown,1993,L5,2020-06-25,0,0,1,1,0,alipay_balance,85,7498.32,1249.72,481.4,325.6,3,1,美妆,食品,3,江苏
sim_u_00000127,Unknown,1976,L3,2021-07-24,0,1,1,1,1,alipay_balance,42,2210.93,368.49,48.38,54.6,4,8,家居,服饰,1,其他
sim_u_00000128,F,1981,L4,2016-01-24,1,0,1,1,0,credit_card,69,4953.89,825.65,55.72,461.81,4,2,家居,食品,2,其他
sim_u_00000129,Unknown,2001,L3,2016-02-13,0,0,1,1,1,alipay_balance,26,1970.51,328.42,344.71,667.31,3,10,图书,食品,4,浙江
sim_u_00000130,Unknown,1972,L1,2022-03-08,0,0,1,1,0,credit_card,10,488.08,81.35,114.0,748.43,4,8,数码,食品,4,江苏
sim_u_00000131,Unknown,1999,L3,2017-12-09,0,0,1,1,0,credit_card,18,1702.21,283.7,109.65,277.61,6,11,家居,家电,5,北京
sim_u_00000132,F,1977,L1,2020-07-10,0,0,1,1,1,alipay_balance,7,809.23,134.87,38.43,517.03,1,3,数码,运动,2,浙江
sim_u_00000133,F,1994,L2,2017-09-11,0,0,1,1,0,debit_card,20,1791.61,298.6,497.11,328.44,0,10,图书,家电,3,江苏
sim_u_00000134,F,1987,L2,2021-04-22,0,0,1,1,1,credit_card,19,1382.93,230.49,492.07,463.77,3,7,数码,运动,4,广东
sim_u_00000135,Unknown,1999,L4,2017-07-03,0,0,1,1,1,credit_card,44,2502.29,417.05,91.67,775.09,1,4,数码,运动,1,其他
sim_u_00000136,F,1989,L3,2017-04-12,0,0,1,1,1,debit_card,36,2554.62,425.77,281.43,772.76,2,8,美妆,服饰,2,江苏
sim_u_00000137,M,1986,L3,2017-08-31,0,0,1,1,1,debit_card,27,2440.64,406.77,284.91,369.95,4,4,家居,母婴,2,上海
sim_u_00000138,M,1993,L2,2017-02-18,0,1,1,1,1,alipay_balance,19,1634.1,272.35,325.27,154.59,2,12,服饰,家电,4,上海
sim_u_00000139,M,2005,L1,2016-03-31,0,0,1,1,1,debit_card,4,441.17,73.53,434.46,785.74,4,10,家居,运动,4,浙江
sim_u_00000140,F,1992,L3,2019-04-19,0,0,1,1,1,debit_card,29,2814.33,469.06,427.13,539.27,4,12,美妆,母婴,2,其他
sim_u_00000141,Unknown,2003,L3,2021-02-03,0,0,1,1,1,debit_card,31,2738.65,456.44,212.28,651.05,3,3,美妆,运动,1,江苏
sim_u_00000142,Unknown,1987,L5,2023-04-14,0,0,1,1,1,debit_card,96,10218.56,1703.09,233.17,509.72,1,2,美妆,家电,2,江苏
sim_u_00000143,Unknown,2002,L3,2021-04-20,0,0,1,1,0,debit_card,28,1797.64,299.61,59.49,54.99,1,6,服饰,服饰,3,广东
sim_u_00000144,M,1979,L3,2015-08-18,0,0,1,1,1,alipay_balance,31,1810.75,301.79,85.19,506.79,6,5,图书,服饰,3,江苏
sim_u_00000145,F,1981,L1,2019-02-02,0,0,1,1,0,credit_card,0,0.0,0.0,166.23,35.74,4,5,服饰,母婴,1,江苏
sim_u_00000146,F,1977,L2,2015-02-25,0,1,1,1,1,debit_card,16,872.37,145.4,492.84,291.8,2,4,美妆,家电,3,江苏
sim_u_00000147,Unknown,1993,L3,2023-10-08,0,0,1,1,1,alipay_balance,32,2437.86,406.31,451.22,194.73,1,1,家居,家电,5,浙江
sim_u_00000148,Unknown,1992,L4,2016-07-23,0,0,1,1,1,credit_card,67,5600.15,933.36,10.23,592.83,3,7,数码,食品,4,北京
sim_u_00000149,M,1997,L5,2022-07-15,0,0,1,1,1,debit_card,102,4612.0,768.67,274.61,19.58,3,2,图书,母婴,1,上海
sim_u_00000150,Unknown,1989,L4,2018-10-05,1,0,1,1,1,debit_card,61,5531.88,921.98,76.37,614.99,0,5,美妆,母婴,3,江苏
sim_u_00000151,Unknown,1988,L2,2023-09-29,0,0,1,1,1,credit_card,20,2193.47,365.58,78.51,734.17,1,5,数码,服饰,2,江苏
sim_u_00000152,Unknown,1982,L1,2019-03-25,0,0,1,1,1,credit_card,9,578.68,96.45,338.12,248.96,6,12,服饰,服饰,3,浙江
sim_u_00000153,Unknown,1986,L3,2019-11-29,0,1,1,1,1,alipay_balance,45,3239.81,539.97,265.05,16.21,2,8,家居,运动,2,其他
sim_u_00000154,Unknown,1979,L3,2024-02-07,0,0,1,1,0,debit_card,37,4077.96,679.66,343.85,747.86,0,1,美妆,母婴,2,广东
sim_u_00000155,Unknown,1992,L2,2021-05-20,0,0,1,1,1,alipay_balance,29,2893.15,482.19,320.16,140.47,1,9,美妆,母婴,4,上海
sim_u_00000156,F,2005,L3,2015-03-01,0,0,1,1,1,credit_card,17,1579.07,263.18,3.38,185.26,3,4,美妆,母婴,2,其他
sim_u_00000157,M,1994,L3,2024-06-19,0,0,1,1,1,alipay_balance,41,3125.33,520.89,347.99,253.03,1,7,美妆,母婴,1,上海
sim_u_00000158,Unknown,1998,L2,2017-12-12,0,0,1,1,1,alipay_balance,30,2290.85,381.81,35.5,278.69,6,1,家居,家电,4,广东
sim_u_00000159,Unknown,1982,L2,2024-07-25,0,1,1,1,1,debit_card,19,1678.21,279.7,437.1,721.73,4,4,图书,运动,1,上海
sim_u_00000160,Unknown,2001,L3,2017-06-01,0,0,1,1,1,credit_card,26,2230.19,371.7,491.12,677.61,0,10,服饰,运动,3,其他
sim_u_00000161,Unknown,1980,L3,2020-01-03,0,1,1,1,1,credit_card,38,4162.93,693.82,88.43,325.54,3,2,美妆,食品,1,江苏
sim_u_00000162,F,1994,L2,2021-01-29,0,1,1,1,1,debit_card,14,943.33,157.22,252.79,209.04,3,10,服饰,运动,3,其他
sim_u_00000163,M,1971,L1,2022-08-07,0,0,1,1,1,alipay_balance,4,208.58,34.76,477.78,508.42,4,1,家居,食品,4,浙江
sim_u_00000164,F,1981,L2,2020-09-28,0,0,1,1,0,alipay_balance,7,531.76,88.63,230.47,707.32,6,6,图书,母婴,4,浙江
sim_u_00000165,M,1977,L1,2022-08-22,0,0,1,1,1,alipay_balance,16,1711.75,285.29,323.86,517.02,0,1,服饰,家电,3,广东
sim_u_00000166,Unknown,1982,L4,2019-02-13,1,0,1,1,1,credit_card,66,6367.42,1061.24,5.7,650.59,5,10,美妆,母婴,3,广东
sim_u_00000167,M,1971,L2,2020-07-28,0,0,1,1,0,debit_card,26,1554.87,259.14,57.25,785.11,4,5,家居,家电,3,江苏
sim_u_00000168,M,1995,L3,2017-06-15,0,0,1,1,1,alipay_balance,20,1437.44,239.57,254.71,71.09,2,4,服饰,运动,5,江苏
sim_u_00000169,M,1984,L1,2015-03-21,0,0,1,1,1,debit_card,16,894.21,149.03,98.3,440.83,5,9,家居,运动,3,广东
sim_u_00000170,M,1981,L3,2019-03-31,0,0,1,1,1,credit_card,33,3507.71,584.62,10.71,305.91,0,5,图书,食品,3,广东
sim_u_00000171,M,1989,L1,2017-06-06,0,0,1,1,1,debit_card,11,1156.77,192.79,410.72,535.56,3,12,美妆,运动,4,浙江
sim_u_00000172,Unknown,1990,L5,2024-02-05,1,0,1,1,1,debit_card,108,10225.08,1704.18,342.37,672.7,3,10,图书,母婴,3,其他
sim_u_00000173,Unknown,2004,L2,2019-09-18,0,0,1,1,0,alipay_balance,28,1361.43,226.91,15.01,174.47,5,12,图书,服饰,4,北京
sim_u_00000174,M,2003,L2,2016-03-05,0,1,1,1,1,alipay_balance,22,2474.05,412.34,367.44,68.57,5,4,服饰,食品,3,其他
sim_u_00000175,F,1980,L3,2024-06-15,0,0,1,1,1,credit_card,17,1128.2,188.03,226.24,400.32,5,2,图书,家电,4,北京
sim_u_00000176,Unknown,1997,L3,2019-10-08,0,0,1,1,1,credit_card,25,2299.91,383.32,407.26,414.1,5,1,美妆,母婴,4,浙江
sim_u_00000177,M,1980,L3,2019-07-15,0,1,1,1,1,debit_card,24,1331.22,221.87,30.13,566.65,3,5,服饰,食品,3,江苏
sim_u_00000178,F,1990,L3,2024-05-27,0,0,1,1,1,debit_card,33,2174.99,362.5,398.57,125.76,2,12,服饰,食品,5,上海
sim_u_00000179,F,1989,L2,2023-02-03,0,0,1,1,1,credit_card,19,1194.69,199.12,48.2,446.56,0,4,家居,家电,3,上海
sim_u_00000180,Unknown,1973,L2,2021-12-21,0,0,1,1,1,debit_card,11,1115.13,185.86,26.61,241.93,1,12,服饰,食品,3,北京
