user_id,ab_test_group,first_exposure_date,total_exposure_days,exposure_sessions,version_build,assignment_date
sim_u_00000073,holdout,2026-06-01,11,3,agent-sim-1.0,2026-06-01
sim_u_00000074,holdout,2026-06-01,20,7,agent-sim-1.0,2026-06-01
sim_u_00000075,holdout,2026-06-01,10,3,agent-sim-1.0,2026-06-01
sim_u_00000076,holdout,2026-06-01,22,10,agent-sim-1.0,2026-06-01
sim_u_00000077,holdout,2026-06-01,7,8,agent-sim-1.0,2026-06-01
sim_u_00000078,holdout,2026-06-01,23,3,agent-sim-1.0,2026-06-01
sim_u_00000079,holdout,2026-06-01,23,10,agent-sim-1.0,2026-06-01
sim_u_00000080,holdout,2026-06-01,20,10,agent-sim-1.0,2026-06-01
sim_u_00000081,holdout,2026-06-01,22,3,agent-sim-1.0,2026-06-01
sim_u_00000082,holdout,2026-06-01,17,13,agent-sim-1.0,2026-06-01
sim_u_00000083,holdout,2026-06-01,15,2,agent-sim-1.0,2026-06-01
sim_u_00000084,holdout,2026-06-01,17,4,agent-sim-1.0,2026-06-01
sim_u_00000085,holdout,2026-06-01,20,6,agent-sim-1.0,2026-06-01
sim_u_00000086,holdout,2026-06-01,24,3,agent-sim-1.0,2026-06-01
sim_u_00000087,holdout,2026-06-01,25,6,agent-sim-1.0,2026-06-01
sim_u_00000088,holdout,2026-06-01,26,2,agent-sim-1.0,2026-06-01
sim_u_00000089,holdout,2026-06-01,28,12,agent-sim-1.0,2026-06-01
sim_u_00000090,holdout,2026-06-01,10,16,agent-sim-1.0,2026-06-01
sim_u_00000091,holdout,2026-06-01,21,5,agent-sim-1.0,2026-06-01
sim_u_00000092,holdout,2026-06-01,13,16,agent-sim-1.0,2026-06-01
sim_u_00000093,holdout,2026-06-01,20,12,agent-sim-1.0,2026-06-01
sim_u_00000094,holdout,2026-06-01,10,11,agent-sim-1.0,2026-06-01
sim_u_00000095,holdout,2026-06-01,18,12,agent-sim-1.0,2026-06-01
sim_u_00000096,holdout,2026-06-01,20,13,agent-sim-1.0,2026-06-01
sim_u_00000097,holdout,2026-06-01,7,8,agent-sim-1.0,2026-06-01
sim_u_00000098,holdout,2026-06-01,20,2,agent-sim-1.0,2026-06-01
sim_u_00000099,holdout,2026-06-01,14,3,agent-sim-1.0,2026-06-01
sim_u_00000100,holdout,2026-06-01,23,9,agent-sim-1.0,2026-06-01
sim_u_00000101,holdout,2026-06-01,19,10,agent-sim-1.0,2026-06-01
sim_u_00000102,holdout,2026-06-01,8,11,agent-sim-1.0,2026-06-01
sim_u_00000103,holdout,2026-06-01,17,16,agent-sim-1.0,2026-06-01
sim_u_00000104,holdout,2026-06-01,8,4,agent-sim-1.0,2026-06-01
sim_u_00000105,holdout,2026-06-01,10,13,agent-sim-1.0,2026-06-01
sim_u_00000106,holdout,2026-06-01,22,15,agent-sim-1.0,2026-06-01
sim_u_00000107,holdout,2026-06-01,10,13,agent-sim-1.0,2026-06-01
sim_u_00000108,holdout,2026-06-01,10,6,agent-sim-1.0,2026-06-01
sim_u_00000109,holdout,2026-06-01,18,14,agent-sim-1.0,2026-06-01
sim_u_00000110,holdout,2026-06-01,9,10,agent-sim-1.0,2026-06-01
sim_u_00000111,holdout,2026-06-01,7,4,agent-sim-1.0,2026-06-01
sim_u_00000112,holdout,2026-06-01,28,16,agent-sim-1.0,2026-06-01
sim_u_00000113,holdout,2026-06-01,21,10,agent-sim-1.0,2026-06-01
sim_u_00000114,holdout,2026-06-01,18,4,agent-sim-1.0,2026-06-01
sim_u_00000115,holdout,2026-06-01,12,9,agent-sim-1.0,2026-06-01
sim_u_00000116,holdout,2026-06-01,7,9,agent-sim-1.0,2026-06-01
sim_u_00000117,holdout,2026-06-01,7,4,agent-sim-1.0,2026-06-01
sim_u_00000118,holdout,2026-06-01,25,3,agent-sim-1.0,2026-06-01
sim_u_00000119,holdout,2026-06-01,12,14,agent-sim-1.0,2026-06-01
sim_u_00000120,holdout,2026-06-01,17,11,agent-sim-1.0,2026-06-01
sim_u_00000121,holdout,2026-06-01,14,10,agent-sim-1.0,2026-06-01
sim_u_00000122,holdout,2026-06-01,14,7,agent-sim-1.0,2026-06-01
sim_u_00000123,holdout,2026-06-01,19,4,agent-sim-1.0,2026-06-01
sim_u_00000124,holdout,2026-06-01,10,3,agent-sim-1.0,2026-06-01
sim_u_00000125,holdout,2026-06-01,28,5,agent-sim-1.0,2026-06-01
sim_u_00000126,holdout,2026-06-01,19,14,agent-sim-1.0,2026-06-01
sim_u_00000127,holdout,2026-06-01,26,16,agent-sim-1.0,2026-06-01
sim_u_00000128,holdout,2026-06-01,28,9,agent-sim-1.0,2026-06-01
sim_u_00000129,holdout,2026-06-01,20,11,agent-sim-1.0,2026-06-01
sim_u_00000130,holdout,2026-06-01,17,2,agent-sim-1.0,2026-06-01
sim_u_00000131,holdout,2026-06-01,18,16,agent-sim-1.0,2026-06-01
sim_u_00000132,holdout,2026-06-01,24,13,agent-sim-1.0,2026-06-01
sim_u_00000133,holdout,2026-06-01,22,12,agent-sim-1.0,2026-06-01
sim_u_00000134,holdout,2026-06-01,22,2,agent-sim-1.0,2026-06-01
sim_u_00000135,holdout,2026-06-01,8,8,agent-sim-1.0,2026-06-01
sim_u_00000136,holdout,2026-06-01,27,2,agent-sim-1.0,2026-06-01
sim_u_00000137,holdout,2026-06-01,27,7,agent-sim-1.0,2026-06-01
sim_u_00000138,holdout,2026-06-01,23,15,agent-sim-1.0,2026-06-01
sim_u_00000139,holdout,2026-06-01,25,5,agent-sim-1.0,2026-06-01
sim_u_00000140,holdout,2026-06-01,10,11,agent-sim-1.0,2026-06-01
sim_u_00000141,holdout,2026-06-01,17,7,agent-sim-1.0,2026-06-01
sim_u_00000142,holdout,2026-06-01,16,5,agent-sim-1.0,2026-06-01
sim_u_00000143,holdout,2026-06-01,15,4,agent-sim-1.0,2026-06-01
sim_u_00000144,holdout,2026-06-01,22,4,agent-sim-1.0,2026-06-01
sim_u_00000145,holdout,2026-06-01,28,13,agent-sim-1.0,2026-06-01
sim_u_00000146,holdout,2026-06-01,23,15,agent-sim-1.0,2026-06-01
sim_u_00000147,holdout,2026-06-01,18,2,agent-sim-1.0,2026-06-01
sim_u_00000148,holdout,2026-06-01,17,9,agent-sim-1.0,2026-06-01
sim_u_00000149,holdout,2026-06-01,21,6,agent-sim-1.0,2026-06-01
sim_u_00000150,holdout,2026-06-01,22,9,agent-sim-1.0,2026-06-01
sim_u_00000151,holdout,2026-06-01,10,11,agent-sim-1.0,2026-06-01
sim_u_00000152,holdout,2026-06-01,8,6,agent-sim-1.0,2026-06-01
sim_u_00000153,holdout,2026-06-01,8,15,agent-sim-1.0,2026-06-01
sim_u_00000154,holdout,2026-06-01,14,15,agent-sim-1.0,2026-06-01
sim_u_00000155,holdout,2026-06-01,13,12,agent-sim-1.0,2026-06-01
sim_u_00000156,holdout,2026-06-01,25,6,agent-sim-1.0,2026-06-01
sim_u_00000157,holdout,2026-06-01,17,6,agent-sim-1.0,2026-06-01
sim_u_00000158,holdout,2026-06-01,24,13,agent-sim-1.0,2026-06-01
sim_u_00000159,holdout,2026-06-01,23,6,agent-sim-1.0,2026-06-01
sim_u_00000160,holdout,2026-06-01,27,3,agent-sim-1.0,2026-06-01
sim_u_00000161,holdout,2026-06-01,18,4,agent-sim-1.0,2026-06-01
sim_u_00000162,holdout,2026-06-01,27,8,agent-sim-1.0,2026-06-01
sim_u_00000163,holdout,2026-06-01,28,13,agent-sim-1.0,2026-06-01
sim_u_00000164,holdout,2026-06-01,8,3,agent-sim-1.0,2026-06-01
sim_u_00000165,holdout,2026-06-01,21,14,agent-sim-1.0,2026-06-01
sim_u_00000166,holdout,2026-06-01,27,13,agent-sim-1.0,2026-06-01
sim_u_00000167,holdout,2026-06-01,8,3,agent-sim-1.0,2026-06-01
sim_u_00000168,holdout,2026-06-01,28,9,agent-sim-1.0,2026-06-01
sim_u_00000169,holdout,2026-06-01,12,10,agent-sim-1.0,2026-06-01
sim_u_00000170,holdout,2026-06-01,7,10,agent-sim-1.0,2026-06-01
sim_u_00000171,holdout,2026-06-01,27,11,agent-sim-1.0,2026-06-01
sim_u_00000172,holdout,2026-06-01,24,13,agent-sim-1.0,2026-06-01
sim_u_00000173,holdout,2026-06-01,11,5,agent-sim-1.0,2026-06-01
sim_u_00000174,holdout,2026-06-01,17,7,agent-sim-1.0,2026-06-01
sim_u_00000175,holdout,2026-06-01,12,2,agent-sim-1.0,2026-06-01
sim_u_00000176,holdout,2026-06-01,26,9,agent-sim-1.0,2026-06-01
sim_u_00000177,holdout,2026-06-01,16,3,agent-sim-1.0,2026-06-01
sim_u_00000178,holdout,2026-06-01,19,9,agent-sim-1.0,2026-06-01
sim_u_00000179,holdout,2026-06-01,21,13,agent-sim-1.0,2026-06-01
sim_u_00000180,holdout,2026-06-01,10,8,agent-sim-1.0,2026-06-01
sim_u_00000181,holdout,2026-06-01,22,16,agent-sim-1.0,2026-06-01
sim_u_00000182,holdout,2026-06-01,16,14,agent-sim-1.0,2026-06-01
sim_u_00000183,holdout,2026-06-01,20,14,agent-sim-1.0,2026-06-01
sim_u_00000184,holdout,2026-06-01,14,5,agent-sim-1.0,2026-06-01
sim_u_00000185,holdout,2026-06-01,8,10,agent-sim-1.0,2026-06-01
sim_u_00000186,holdout,2026-06-01,26,6,agent-sim-1.0,2026-06-01
sim_u_00000187,holdout,2026-06-01,14,11,agent-sim-1.0,2026-06-01
sim_u_00000188,holdout,2026-06-01,28,2,agent-sim-1.0,2026-06-01
sim_u_00000189,holdout,2026-06-01,14,16,agent-sim-1.0,2026-06-01
sim_u_00000190,holdout,2026-06-01,24,6,agent-sim-1.0,2026-06-01
sim_u_00000191,holdout,2026-06-01,20,7,agent-sim-1.0,2026-06-01
sim_u_00000192,holdout,2026-06-01,19,11,agent-sim-1.0,2026-06-01
sim_u_00000193,holdout,2026-06-01,17,10,agent-sim-1.0,2026-06-01
sim_u_00000194,holdout,2026-06-01,17,8,agent-sim-1.0,2026-06-01
sim_u_00000195,holdout,2026-06-01,15,11,agent-sim-1.0,2026-06-01
sim_u_00000196,holdout,2026-06-01,18,7,agent-sim-1.0,2026-06-01
sim_u_00000197,holdout,2026-06-01,21,16,agent-sim-1.0,2026-06-01
sim_u_00000198,holdout,2026-06-01,28,5,agent-sim-1.0,2026-06-01
sim_u_00000199,holdout,2026-06-01,26,4,agent-sim-1.0,2026-06-01
sim_u_00000200,holdout,2026-06-01,15,12,agent-sim-1.0,2026-06-01
sim_u_00000201,holdout,2026-06-01,14,5,agent-sim-1.0,2026-06-01
sim_u_00000202,holdout,2026-06-01,15,15,agent-sim-1.0,2026-06-01
sim_u_00000203,holdout,2026-06-01,26,16,agent-sim-1.0,2026-06-01
sim_u_00000204,holdout,2026-06-01,24,12,agent-sim-1.0,2026-06-01
sim_u_00000205,holdout,2026-06-01,17,13,agent-sim-1.0,2026-06-01
sim_u_00000206,holdout,2026-06-01,7,6,agent-sim-1.0,2026-06-01
sim_u_00000207,holdout,2026-06-01,13,6,agent-sim-1.0,2026-06-01
sim_u_00000208,holdout,2026-06-01,14,13,agent-sim-1.0,2026-06-01
sim_u_00000209,holdout,2026-06-01,24,2,agent-sim-1.0,2026-06-01
sim_u_00000210,holdout,2026-06-01,9,9,agent-sim-1.0,2026-06-01
sim_u_00000211,holdout,2026-06-01,22,9,agent-sim-1.0,2026-06-01
sim_u_00000212,holdout,2026-06-01,9,16,agent-sim-1.0,2026-06-01
sim_u_00000213,holdout,2026-06-01,13,11,agent-sim-1.0,2026-06-01
sim_u_00000214,holdout,2026-06-01,27,5,agent-sim-1.0,2026-06-01
sim_u_00000215,holdout,2026-06-01,24,7,agent-sim-1.0,2026-06-01
sim_u_00000216,holdout,2026-06-01,27,9,agent-sim-1.0,2026-06-01
sim_u_00000217,holdout,2026-06-01,26,9,agent-sim-1.0,2026-06-01
sim_u_00000218,holdout,2026-06-01,17,5,agent-sim-1.0,2026-06-01
sim_u_00000219,holdout,2026-06-01,10,14,agent-sim-1.0,2026-06-01
sim_u_00000220,holdout,2026-06-01,17,13,agent-sim-1.0,2026-06-01
sim_u_00000221,holdout,2026-06-01,12,11,agent-sim-1.0,2026-06-01
sim_u_00000222,holdout,2026-06-01,26,2,agent-sim-1.0,2026-06-01
sim_u_00000223,holdout,2026-06-01,26,6,agent-sim-1.0,2026-06-01
sim_u_00000224,holdout,2026-06-01,15,9,agent-sim-1.0,2026-06-01
sim_u_00000225,holdout,2026-06-01,12,11,agent-sim-1.0,2026-06-01
sim_u_00000226,holdout,2026-06-01,7,5,agent-sim-1.0,2026-06-01
sim_u_00000227,holdout,2026-06-01,10,15,agent-sim-1.0,2026-06-01
sim_u_00000228,holdout,2026-06-01,20,10,agent-sim-1.0,2026-06-01
sim_u_00000229,holdout,2026-06-01,24,12,agent-sim-1.0,2026-06-01
sim_u_00000230,holdout,2026-06-01,19,16,agent-sim-1.0,2026-06-01
sim_u_00000231,holdout,2026-06-01,18,4,agent-sim-1.0,2026-06-01
sim_u_00000232,holdout,2026-06-01,22,5,agent-sim-1.0,2026-06-01
sim_u_00000233,holdout,2026-06-01,14,6,agent-sim-1.0,2026-06-01
sim_u_00000234,holdout,2026-06-01,16,14,agent-sim-1.0,2026-06-01
sim_u_00000235,holdout,2026-06-01,28,8,agent-sim-1.0,2026-06-01
sim_u_00000236,holdout,2026-06-01,10,11,agent-sim-1.0,2026-06-01
sim_u_00000237,holdout,2026-06-01,25,14,agent-sim-1.0,2026-06-01
sim_u_00000238,holdout,2026-06-01,8,16,agent-sim-1.0,2026-06-01
sim_u_00000239,holdout,2026-06-01,8,7,agent-sim-1.0,2026-06-01
sim_u_00000240,holdout,2026-06-01,27,10,agent-sim-1.0,2026-06-01
sim_u_00000241,holdout,2026-06-01,20,14,agent-sim-1.0,2026-06-01
sim_u_00000242,holdout,2026-06-01,26,15,agent-sim-1.0,2026-06-01
sim_u_00000243,holdout,2026-06-01,26,8,agent-sim-1.0,2026-06-01
sim_u_00000244,holdout,2026-06-01,11,12,agent-sim-1.0,2026-06-01
sim_u_00000245,holdout,2026-06-01,27,13,agent-sim-1.0,2026-06-01
sim_u_00000246,holdout,2026-06-01,27,7,agent-sim-1.0,2026-06-01
sim_u_00000247,holdout,2026-06-01,19,10,agent-sim-1.0,2026-06-01
sim_u_00000248,holdout,2026-06-01,24,9,agent-sim-1.0,2026-06-01
sim_u_00000249,holdout,2026-06-01,28,10,agent-sim-1.0,2026-06-01
sim_u_00000250,holdout,2026-06-01,26,2,agent-sim-1.0,2026-06-01
sim_u_00000251,holdout,2026-06-01,24,13,agent-sim-1.0,2026-06-01
sim_u_00000252,holdout,2026-06-01,16,4,agent-sim-1.0,2026-06-01
sim_u_00000253,holdout,2026-06-01,7,12,agent-sim-1.0,2026-06-01
sim_u_00000254,holdout,2026-06-01,7,9,agent-sim-1.0,2026-06-01
sim_u_00000255,holdout,2026-06-01,24,3,agent-sim-1.0,2026-06-01
sim_u_00000256,holdout,2026-06-01,28,16,agent-sim-1.0,2026-06-01
sim_u_00000257,holdout,2026-06-01,23,13,agent-sim-1.0,2026-06-01
sim_u_00000258,holdout,2026-06-01,26,10,agent-sim-1.0,2026-06-01
sim_u_00000259,holdout,2026-06-01,26,15,agent-sim-1.0,2026-06-01
sim_u_00000260,holdout,2026-06-01,23,7,agent-sim-1.0,2026-06-01
sim_u_00000261,holdout,2026-06-01,17,3,agent-sim-1.0,2026-06-01
sim_u_00000262,holdout,2026-06-01,19,5,agent-sim-1.0,2026-06-01
sim_u_00000263,holdout,2026-06-01,16,3,agent-sim-1.0,2026-06-01
sim_u_00000264,holdout,2026-06-01,9,14,agent-sim-1.0,2026-06-01
sim_u_00000265,holdout,2026-06-01,22,4,agent-sim-1.0,2026-06-01
sim_u_00000266,holdout,2026-06-01,26,6,agent-sim-1.0,2026-06-01
sim_u_00000267,holdout,2026-06-01,23,13,agent-sim-1.0,2026-06-01
sim_u_00000268,holdout,2026-06-01,8,4,agent-sim-1.0,2026-06-01
sim_u_00000269,holdout,2026-06-01,17,4,agent-sim-1.0,2026-06-01
sim_u_00000270,holdout,2026-06-01,19,9,agent-sim-1.0,2026-06-01
sim_u_00000271,holdout,2026-06-01,26,14,agent-sim-1.0,2026-06-01
sim_u_00000272,holdout,2026-06-01,27,7,agent-sim-1.0,2026-06-01
sim_u_00000273,holdout,2026-06-01,26,3,agent-sim-1.0,2026-06-01
sim_u_00000274,holdout,2026-06-01,20,3,agent-sim-1.0,2026-06-01
sim_u_00000275,holdout,2026-06-01,19,15,agent-sim-1.0,2026-06-01
sim_u_00000276,holdout,2026-06-01,11,4,agent-sim-1.0,2026-06-01
sim_u_00000277,holdout,2026-06-01,9,2,agent-sim-1.0,2026-06-01
sim_u_00000278,holdout,2026-06-01,8,6,agent-sim-1.0,2026-06-01
sim_u_00000279,holdout,2026-06-01,26,4,agent-sim-1.0,2026-06-01
sim_u_00000280,holdout,2026-06-01,14,13,agent-sim-1.0,2026-06-01
sim_u_00000281,holdout,2026-06-01,19,8,agent-sim-1.0,2026-06-01
sim_u_00000282,holdout,2026-06-01,15,3,agent-sim-1.0,2026-06-01
sim_u_00000283,holdout,2026-06-01,9,8,agent-sim-1.0,2026-06-01
sim_u_00000284,holdout,2026-06-01,27,8,agent-sim-1.0,2026-06-01
sim_u_00000285,holdout,2026-06-01,12,2,agent-sim-1.0,2026-06-01
sim_u_00000286,holdout,2026-06-01,23,5,agent-sim-1.0,2026-06-01
sim_u_00000287,holdout,2026-06-01,15,16,agent-sim-1.0,2026-06-01
sim_u_00000288,holdout,2026-06-01,17,16,agent-sim-1.0,2026-06-01
sim_u_00000289,holdout,2026-06-01,14,8,agent-sim-1.0,2026-06-01
sim_u_00000290,holdout,2026-06-01,9,12,agent-sim-1.0,2026-06-01
sim_u_00000291,holdout,2026-06-01,11,16,agent-sim-1.0,2026-06-01
sim_u_00000292,holdout,2026-06-01,9,14,agent-sim-1.0,2026-06-01
sim_u_00000293,holdout,2026-06-01,28,7,agent-sim-1.0,2026-06-01
sim_u_00000294,holdout,2026-06-01,22,9,agent-sim-1.0,2026-06-01
sim_u_00000295,holdout,2026-06-01,26,14,agent-sim-1.0,2026-06-01
sim_u_00000296,holdout,2026-06-01,9,2,agent-sim-1.0,2026-06-01
sim_u_00000297,holdout,2026-06-01,21,11,agent-sim-1.0,2026-06-01
sim_u_00000298,holdout,2026-06-01,8,11,agent-sim-1.0,2026-06-01
sim_u_00000299,holdout,2026-06-01,13,3,agent-sim-1.0,2026-06-01
sim_u_00000300,holdout,2026-06-02,7,16,agent-sim-1.0,2026-06-02
sim_u_00000301,holdout,2026-06-02,21,11,agent-sim-1.0,2026-06-02
sim_u_00000302,holdout,2026-06-02,14,5,agent-sim-1.0,2026-06-02
sim_u_00000303,holdout,2026-06-02,22,15,agent-sim-1.0,2026-06-02
sim_u_00000304,holdout,2026-06-02,25,7,agent-sim-1.0,2026-06-02
sim_u_00000305,holdout,2026-06-02,11,10,agent-sim-1.0,2026-06-02
sim_u_00000306,holdout,2026-06-02,26,11,agent-sim-1.0,2026-06-02
sim_u_00000307,holdout,2026-06-02,12,11,agent-sim-1.0,2026-06-02
sim_u_00000308,holdout,2026-06-02,11,11,agent-sim-1.0,2026-06-02
sim_u_00000309,holdout,2026-06-02,12,10,agent-sim-1.0,2026-06-02
sim_u_00000310,holdout,2026-06-02,21,6,agent-sim-1.0,2026-06-02
sim_u_00000311,holdout,2026-06-02,18,5,agent-sim-1.0,2026-06-02
sim_u_00000312,holdout,2026-06-02,27,15,agent-sim-1.0,2026-06-02
sim_u_00000313,holdout,2026-06-02,12,4,agent-sim-1.0,2026-06-02
sim_u_00000314,holdout,2026-06-02,17,6,agent-sim-1.0,2026-06-02
sim_u_00000315,holdout,2026-06-02,17,12,agent-sim-1.0,2026-06-02
sim_u_00000316,holdout,2026-06-02,7,13,agent-sim-1.0,2026-06-02
sim_u_00000317,holdout,2026-06-02,15,5,agent-sim-1.0,2026-06-02
sim_u_00000318,holdout,2026-06-02,10,7,agent-sim-1.0,2026-06-02
sim_u_00000319,holdout,2026-06-02,17,15,agent-sim-1.0,2026-06-02
sim_u_00000320,holdout,2026-06-02,11,11,agent-sim-1.0,2026-06-02
sim_u_00000321,holdout,2026-06-02,16,9,agent-sim-1.0,2026-06-02
sim_u_00000322,holdout,2026-06-02,17,8,agent-sim-1.0,2026-06-02
sim_u_00000323,holdout,2026-06-02,22,9,agent-sim-1.0,2026-06-02
sim_u_00000324,holdout,2026-06-02,13,7,agent-sim-1.0,2026-06-02
sim_u_00000325,holdout,2026-06-02,24,7,agent-sim-1.0,2026-06-02
sim_u_00000326,holdout,2026-06-02,10,13,agent-sim-1.0,2026-06-02
sim_u_00000327,holdout,2026-06-02,13,10,agent-sim-1.0,2026-06-02
sim_u_00000328,holdout,2026-06-02,9,15,agent-sim-1.0,2026-06-02
sim_u_00000329,holdout,2026-06-02,28,10,agent-sim-1.0,2026-06-02
sim_u_00000330,holdout,2026-06-02,23,13,agent-sim-1.0,2026-06-02
sim_u_00000331,holdout,2026-06-02,7,13,agent-sim-1.0,2026-06-02
sim_u_00000332,holdout,2026-06-02,12,7,agent-sim-1.0,2026-06-02
sim_u_00000333,holdout,2026-06-02,15,14,agent-sim-1.0,2026-06-02
sim_u_00000334,holdout,2026-06-02,27,5,agent-sim-1.0,2026-06-02
sim_u_00000335,holdout,2026-06-02,10,11,agent-sim-1.0,2026-06-02
sim_u_00000336,holdout,2026-06-02,18,7,agent-sim-1.0,2026-06-02
sim_u_00000337,holdout,2026-06-02,11,2,agent-sim-1.0,2026-06-02
sim_u_00000338,holdout,2026-06-02,18,13,agent-sim-1.0,2026-06-02
sim_u_00000339,holdout,2026-06-02,9,11,agent-sim-1.0,2026-06-02
